Date,Open,High,Low,Close,Adj Close,Volume
2013-01-31,3.768006,3.813495,3.745262,3.768006,3.768006,70500
2013-02-01,3.775588,3.866565,3.752843,3.851403,3.851403,115600
2013-02-04,3.851403,3.851403,3.828658,3.828658,3.828658,88900
2013-02-05,3.851403,4.025777,3.851403,4.018196,4.018196,162700
2013-02-06,4.033359,4.033359,3.942381,3.949962,3.949962,171900
2013-02-07,3.957544,3.972707,3.904473,3.949962,3.949962,80800
2013-02-08,3.942381,4.040940,3.942381,3.980288,3.980288,94900
2013-02-11,4.169826,4.184988,4.078847,4.094011,4.094011,377600
2013-02-12,4.109174,4.207733,4.078847,4.177407,4.177407,208100
2013-02-13,4.192570,4.313874,4.192570,4.283548,4.283548,543000
2013-02-14,4.313874,4.366945,4.094011,4.147081,4.147081,283800
2013-02-15,4.162244,4.162244,4.018196,4.116755,4.116755,199900
2013-02-19,4.169826,4.397271,4.169826,4.351782,4.351782,699800
2013-02-20,4.336618,4.374526,4.253222,4.260804,4.260804,520300
2013-02-21,4.291130,4.359363,4.283548,4.306293,4.306293,267300
2013-02-22,4.351782,4.397271,4.291130,4.389689,4.389689,343500
2013-02-25,4.435178,4.442760,4.298711,4.306293,4.306293,214900
2013-02-26,4.329037,4.397271,4.329037,4.374526,4.374526,292200
2013-02-27,4.374526,4.427597,4.351782,4.382108,4.382108,229200
2013-02-28,4.473086,4.510993,4.329037,4.359363,4.359363,406200
2013-03-01,4.321455,4.397271,4.275967,4.321455,4.321455,208400
2013-03-04,4.268385,4.359363,4.268385,4.336618,4.336618,133400
2013-03-05,4.359363,4.366945,4.283548,4.321455,4.321455,282600
2013-03-06,4.306293,4.344200,4.291130,4.321455,4.321455,373100
2013-03-07,4.321455,4.344200,4.306293,4.321455,4.321455,422800
2013-03-08,4.351782,4.359363,4.313874,4.321455,4.321455,164800
2013-03-11,4.321455,4.351782,4.298711,4.298711,4.298711,201000
2013-03-12,4.321455,4.344200,4.298711,4.321455,4.321455,218900
2013-03-13,4.313874,4.321455,4.283548,4.306293,4.306293,114000
2013-03-14,4.306293,4.336618,4.306293,4.321455,4.321455,127500
2013-03-15,4.336618,4.359363,4.329037,4.344200,4.344200,279300
2013-03-18,4.321455,4.336618,4.245641,4.298711,4.298711,105600
2013-03-19,4.321455,4.321455,4.184988,4.200151,4.200151,100500
2013-03-20,4.238059,4.238059,4.094011,4.169826,4.169826,203200
2013-03-21,4.169826,4.245641,4.124337,4.200151,4.200151,141200
2013-03-22,4.215315,4.435178,4.215315,4.351782,4.351782,183300
